SAMPLE_ID,BRCA1/2_mut,other_HRR_gene_mutation_somatic,sv_trans_frac,sv_del_frac,sv_inv_frac,sv_tadem_dup_frac,sv_n_all_sv,sv_n_svclass_stdev,sv_microhom_deletion_mean,sv_microhom_inversion_mean,sv_microhom_tandem-duplication_mean,sv_microhom_translocation_mean,indel_n_del,indel_n_ins,ins_indel_ratio,del_indel_ratio,indel_DEL_len_1,indel_DEL_len_2,indel_DEL_len_3,indel_DEL_len_4,indel_DEL_len_inf,indel_INS_len_1,indel_INS_len_2,indel_INS_len_3,indel_INS_len_4,indel_INS_len_inf,indel_DEL_mh,indel_DEL_noMHstatus,indel_DEL_rep,indel_del_mh_ratio,Telomeric_AI,Interstitial_AI,Telomeric_LOH,Interstitial_LOH,LST_count,LOH_count,MSI,cnv_DEL_0_3500_sum_indel_DEL_len_inf,indel_INS_len_inf_sum_cnv_DUP_0_30000,indel_INS_len_inf_sum_cnv_DUP_0_1000,frac_cnv_DUP_len_30000_inf,frac_cnv_DEL_len_100000_inf,frac_cnv_DIPLOID_len_100000_inf,frac_sv_dup_30000+,frac_sv_del_frac,frac_sv_del_100000+,FBI_relaxed,percent_all_cc2ca,percent_all_cc2ct,cc2ca_vs_cc2ct,SBS31,ccne1_amp,resistant_ccne1_over_6,frac_cnv_DUP_len_0_30000,frac_cnv_DEL_len_0_100000,frac_cnv_DIPLOID_len_0_100000,frac_sv_dup_0_30000,frac_sv_del_0_100000,labels_v1
Sample_0003,1,0,0.264367816091954,0.14367816091954,0.459770114942529,0.132183908045977,174,22.9183332727317,0.56,0.65,1.47826086956522,0.5,355,270,0.432,0.568,162,42,20,17,114,190,13,5,7,55,94,81,180,0.2647887324,21,294,12,67,10,6,0.24,115,78,56,0.934659090909091,0.777777777777778,0.814814814814815,1.0,0.0057142857142857,0.596571428571429,25,32.34,65.96,2.04,0.56,1,1,0.0653409090909089,0.222222222222222,0.185185185185185,0.0,0.403428571428571,1
Sample_0004,0,1,0.246753246753247,0.311688311688312,0.125541125541126,0.316017316017316,462,35.5351938224628,1.47222222222222,1.08620689655172,1.16438356164384,1.20175438596491,1264,183,0.1264685556,0.8735314444,258,57,35,26,888,121,13,5,5,39,821,191,252,0.6495253165,34,373,18,138,39,20,0.4,891,68,40,0.924083769633508,0.473684210526316,0.771186440677966,0.205479452054795,0.0021598272138228,0.194024478041757,7,61.72,42.15,0.68,0.47,0,0,0.0759162303664919,0.5263157894736841,0.2288135593220339,0.794520547945205,0.805975521958243,1
Sample_0006,0,0,0.517241379310345,0.413793103448276,0.0689655172413793,0.0,29,5.55777733351102,0.5,0.0,0.0,0.2,202,231,0.5334872979,0.4665127021,78,27,7,11,79,172,16,1,1,41,57,34,111,0.2821782178,13,42,9,23,3,4,0.02,79,47,41,0.739130434782609,0.806451612903226,0.851063829787234,0.0,0.0333333333333333,0.402777777777778,0,53.66,97.24,1.81,0.43,1,1,0.260869565217391,0.193548387096774,0.1489361702127659,1.0,0.597222222222222,0
Sample_0009,1,0,0.301703163017032,0.133819951338199,0.114355231143552,0.450121654501217,411,56.1354388955854,0.636363636363636,0.553191489361702,1.03243243243243,0.758064516129032,766,314,0.2907407407,0.7092592593,211,36,25,14,480,182,21,5,4,102,394,145,227,0.5143603133,38,214,27,131,28,28,0.03,482,117,102,0.8828125,0.76530612244898,0.899280575539568,0.443243243243243,0.0024271844660194,0.308340688437776,1,68.43,53.85,0.79,0.68,0,0,0.1171875,0.23469387755102,0.100719424460432,0.5567567567567571,0.691659311562224,1
Sample_0011,0,0,0.233532934131737,0.0838323353293413,0.109780439121757,0.572854291417166,501,97.5919438273467,1.21428571428571,0.872727272727273,2.03135888501742,0.401709401709402,442,449,0.5039281706,0.4960718294,254,44,15,19,110,312,33,10,10,84,77,104,261,0.1742081448,25,411,11,87,13,8,0.29,110,109,84,0.958745874587459,0.428571428571428,0.96969696969697,0.97212543554007,0.0019920318725099,0.546528173022197,15,59.57,47.15,0.79,0.56,1,0,0.041254125412541,0.5714285714285721,0.03030303030303,0.0278745644599299,0.4534718269778029,1
Sample_0012,0,0,0.212048192771084,0.455421686746988,0.159036144578313,0.173493975903615,415,49.8717104178311,1.41269841269841,0.909090909090909,0.930555555555556,0.545454545454545,1058,178,0.144012945,0.855987055,195,50,23,18,772,98,10,4,5,61,715,142,201,0.6758034026,37,210,26,111,37,24,0.02,772,66,61,0.962686567164179,0.784090909090909,0.930232558139535,0.875,0.0024038461538461,0.126678876678877,9,51.51,44.07,0.86,0.56,0,0,0.037313432835821,0.215909090909091,0.069767441860465,0.125,0.873321123321123,0
Sample_0013,1,1,0.262162162162162,0.210810810810811,0.116216216216216,0.410810810810811,370,39.436658073422,1.02564102564103,1.23255813953488,1.10526315789474,0.597938144329897,1010,372,0.2691751085,0.7308248915,227,48,20,39,676,270,23,9,8,62,607,192,211,0.600990099,35,251,26,152,19,12,0.36,676,70,62,0.941176470588235,0.8,0.85207100591716,0.493421052631579,0.0026954177897574,0.34522081691893,0,40.9,70.89,1.73,0.38,0,0,0.058823529411765,0.1999999999999999,0.14792899408284,0.506578947368421,0.6547791830810701,1
Sample_0014,0,0,0.194560669456067,0.251046025104602,0.205020920502092,0.349372384937238,478,29.2446576317795,1.025,0.683673469387755,1.04191616766467,0.387096774193548,727,630,0.4642593957,0.5357406043,272,78,39,42,296,449,24,10,11,136,249,147,331,0.3425034388,34,337,21,168,16,19,0.11,296,152,137,0.951367781155015,0.619047619047619,0.961538461538462,0.838323353293413,0.0020876826722338,0.48232428670842,25,51.37,60.58,1.18,0.29,1,0,0.048632218844985,0.380952380952381,0.0384615384615379,0.161676646706587,0.51767571329158,0
Sample_0015,0,1,0.131474103585657,0.49800796812749,0.183266932270916,0.187250996015936,251,36.361896265184,0.84,0.673913043478261,1.02127659574468,0.575757575757576,310,191,0.381237525,0.618762475,79,27,10,11,183,119,9,3,0,60,164,46,100,0.5290322581,34,308,18,132,18,6,0.0,184,81,62,0.934782608695652,0.673469387755102,0.941666666666667,0.531914893617021,0.0039682539682539,0.191238095238095,11,58.0,45.01,0.78,0.69,0,0,0.065217391304348,0.326530612244898,0.058333333333333,0.4680851063829789,0.808761904761905,1
Sample_0016,0,0,0.288235294117647,0.223529411764706,0.126470588235294,0.361764705882353,340,29.4023808559783,1.30263157894737,1.16279069767442,1.17073170731707,0.408163265306123,1117,300,0.2117148906,0.7882851094,241,39,28,26,783,191,22,8,7,72,701,162,254,0.6275738585,36,235,27,148,27,35,0.02,784,82,72,0.92,0.829268292682927,0.937007874015748,0.390243902439024,0.002932551319648,0.301744096311159,5,59.04,43.26,0.73,0.34,0,0,0.0799999999999999,0.170731707317073,0.0629921259842519,0.6097560975609759,0.6982559036888409,1
